name,type,capacity_mw,operator,state,osm_id,lng,lat
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091494,80.4117265,16.4548219
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091495,80.8900192,16.7497981
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091496,81.0138662,17.0381302
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091497,80.0569282,16.8434046
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091498,79.7945622,17.0745718
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091499,79.5547673,17.1986171
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091500,79.2105635,17.2229886
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091501,79.0813145,17.1752209
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091502,79.3240973,17.1500403
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091503,79.3057081,17.394353
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003091504,78.2497546,18.006746
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091505,75.7343465,19.2899322
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091507,73.8597448,20.2505225
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091508,73.8402124,20.2695935
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091509,74.4956571,20.2711873
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091510,76.9046697,21.0984091
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091511,78.9640443,20.9199616
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091512,79.0032193,20.9346306
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091514,79.273311,21.1329808
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091515,79.2722207,21.1445712
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003091516,79.5605314,21.0973605
Unnamed Solar Plant,solar,0,Unknown,Chhattisgarh,way/1003091517,81.8918431,21.5420598
Unnamed Solar Plant,solar,0,Unknown,Chhattisgarh,way/1003091518,81.7873447,21.494959
Unnamed Solar Plant,solar,0,Unknown,Chhattisgarh,way/1003091519,81.8002376,21.1589524
Unnamed Solar Plant,solar,0,Unknown,Chhattisgarh,way/1003091520,81.5855911,21.2811319
Unnamed Solar Plant,solar,0,Unknown,Chhattisgarh,way/1003091521,81.9175031,21.4235434
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091522,71.2640545,22.3212866
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091523,73.129667,22.3621316
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091524,73.3564451,22.071291
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091525,72.5758445,21.7218842
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091526,70.7906279,22.0672182
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091527,69.9635653,21.8987955
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091528,69.6123214,23.0504329
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091532,72.4406968,23.177695
PDPU Solar Park,solar,0,Unknown,Gujarat,way/1003091533,72.6693383,23.1534609
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091534,72.6823255,23.2744853
Unnamed Solar Plant,solar,0,Unknown,Gujarat,way/1003091535,73.2189833,23.5232672
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118921,77.182509,13.7509817
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118922,76.4049031,13.7825445
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118923,75.5769172,14.1953372
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118924,75.5575988,14.223307
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118925,76.3150627,14.4750254
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118926,76.3985845,14.3414529
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118927,77.2220502,14.3070631
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118928,77.2498753,14.2606709
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118929,77.2788996,14.2293103
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118930,77.3714425,14.177696
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003118931,78.1360853,13.9997568
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003118932,78.1709003,13.9905931
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003118933,78.9202425,13.86745
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003118934,78.4318189,14.6713303
Unnamed Solar Plant,solar,0,Unknown,Andhra Pradesh,way/1003118935,77.5484857,14.5383264
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118936,75.4515641,15.070984
Unnamed Solar Plant,solar,0,Unknown,Goa,way/1003118937,73.9467041,15.132937
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118938,75.6358779,15.4728492
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118939,75.7045716,15.4910497
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118940,76.3431157,15.3822249
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118941,76.6367814,15.4072241
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118942,76.1586964,15.5828784
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118943,74.4498477,15.7824005
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118945,74.7632115,15.7295496
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118946,74.909656,15.861871
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118947,74.9739086,16.0273095
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118948,75.0469395,16.2325582
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118949,74.5867879,16.2330101
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003118952,74.3723015,16.6108456
Unnamed Solar Plant,solar,0,Unknown,Maharashtra,way/1003118953,74.371055,16.6142563
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118954,75.0746588,16.7088148
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118955,75.4580176,16.6157945
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118956,75.4669842,16.594778
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118957,75.5703673,16.6063064
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118958,75.8311155,16.5180484
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003118959,77.0439461,16.1889692
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158309,77.5119099,8.2659601
Unnamed Solar Plant,solar,0,Unknown,Kerala,way/1003158310,76.8757669,8.606854
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158311,78.0836747,8.8457622
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158312,77.6565875,9.2793738
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158313,77.7666177,9.2321747
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158314,77.9105491,9.2579548
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158315,77.9086447,9.260091
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158316,77.9782426,9.2853132
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158317,77.7257898,9.7887505
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158318,77.7618809,9.8593663
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158319,77.9304216,10.5985404
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158321,77.2811445,10.6631068
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158323,78.6993652,11.0662175
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158324,77.9219987,10.8983141
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158326,77.5291532,10.9813028
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158331,77.3248169,10.9297123
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158332,77.307335,10.9525786
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158333,77.3283326,11.2098235
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158334,77.5485219,11.2404102
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158335,77.7956049,11.4108406
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158336,77.639544,11.4133708
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158337,77.2370095,11.3354281
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158338,77.1709541,11.2741952
Unnamed Solar Plant,solar,0,Unknown,Tamil Nadu,way/1003158341,77.2093183,11.4674872
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158342,76.8066966,11.9649212
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158343,77.2746093,12.0357582
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158346,76.3731471,12.171119
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158347,76.5188808,12.7825447
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158348,77.4966936,13.1089091
BIAL Solar System,solar,0,Unknown,Karnataka,way/1003158350,77.6905167,13.2103464
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158352,77.986949,13.3955061
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003158353,78.0846472,13.7352085
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003159743,77.7426173,12.7946438
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003159744,78.414158,12.9556063
Unnamed Solar Plant,solar,0,Unknown,Karnataka,way/1003159745,78.413065,12.9588736
