COMPLETE LIST OF POWER PLANTS IN INDIA (3801 Total)
================================================================================


--- ANDAMAN AND NICOBAR ---
281. Mothkur mandal Solar Plant | Type: solar | Capacity: 0 MW
282. Mothkur mandal Solar Plant | Type: solar | Capacity: 0 MW
283. Mothkur mandal Solar Plant | Type: solar | Capacity: 0 MW
284. Muddanur Solar Plant | Type: solar | Capacity: 0 MW
285. Mudhole mandal Solar Plant | Type: solar | Capacity: 0 MW
286. Mudigubba Solar Plant | Type: solar | Capacity: 0 MW
287. Mukpal mandal Hydro Plant | Type: hydro | Capacity: 0 MW
288. Mulug mandal Solar Plant | Type: solar | Capacity: 0 MW
289. Munagala mandal Solar Plant | Type: solar | Capacity: 0 MW
290. Munipalli | Type: solar | Capacity: 5.0 MW
291. Munipally mandal Solar Plant | Type: solar | Capacity: 0 MW
292. Munugode mandal Solar Plant | Type: solar | Capacity: 0 MW
293. Mustabad mandal Solar Plant | Type: solar | Capacity: 0 MW
294. NTPC Ramagundam Thermal power plant | Type: coal | Capacity: 2600.0 MW
295. Nagar_Kurnool mandal Solar Plant | Type: solar | Capacity: 0 MW
296. Nagari Solar Plant | Type: solar | Capacity: 0 MW
297. Nagarjuna Sagar tail pond hydroelectric power station | Type: hydro | Capacity: 50.0 MW
298. Nagarjunasagar Dam power house | Type: hydro | Capacity: 815.6 MW
299. Nagarjunasagar Left Canal power plant | Type: hydro | Capacity: 60.0 MW
300. Nagarjunasagar Right Canal power house | Type: hydro | Capacity: 90.0 MW
301. Nagarkurnool Keerthi | Type: solar | Capacity: 10.0 MW
302. Nagarkurnool Mytrah | Type: solar | Capacity: 15.0 MW
303. Nallacheruvu Solar Plant | Type: solar | Capacity: 0 MW
304. Nallacheruvu Solar Plant | Type: solar | Capacity: 0 MW
305. Nallacheruvu Solar Plant | Type: solar | Capacity: 0 MW
306. Nampally mandal Solar Plant | Type: solar | Capacity: 0 MW
307. Nampally mandal Solar Plant | Type: solar | Capacity: 0 MW
308. Nandipet Acme | Type: solar | Capacity: 15.0 MW
309. Nandipet SD | Type: solar | Capacity: 20.0 MW
310. Narketpally mandal Solar Plant | Type: solar | Capacity: 0 MW
311. Nekarikallu Hydro Plant | Type: hydro | Capacity: 0 MW
312. Nereducherla mandal Hydro Plant | Type: hydro | Capacity: 0 MW
313. Nirmal Acme | Type: solar | Capacity: 50.0 MW
314. Nuzvid Solar Plant | Type: solar | Capacity: 0 MW
315. Othkulapalli | Type: solar | Capacity: 0 MW
316. Owk Solar Plant | Type: solar | Capacity: 0 MW
317. Paloncha Power Plant | Type: unknown | Capacity: 0 MW
318. Palvancha mandal Coal Plant | Type: coal | Capacity: 0 MW
319. Palvancha mandal Coal Plant | Type: coal | Capacity: 0 MW
320. Pamulapadu Solar Plant | Type: solar | Capacity: 0 MW
321. Panyala | Type: solar | Capacity: 0 MW
322. Paravada Solar Plant | Type: solar | Capacity: 0 MW
323. Paravada Solar Plant | Type: solar | Capacity: 0 MW
324. Paravada Solar Plant | Type: solar | Capacity: 0 MW
325. Paravada Solar Plant | Type: solar | Capacity: 0 MW
326. Parigi SSJ | Type: solar | Capacity: 5.0 MW
327. Parigi Solar Plant | Type: solar | Capacity: 0 MW
328. Patancheruvu mandal Solar Plant | Type: solar | Capacity: 0 MW
329. Peapally Solar Plant | Type: solar | Capacity: 0 MW
330. Peapally Solar Plant | Type: solar | Capacity: 0 MW
331. Peapally Solar Plant | Type: solar | Capacity: 0 MW
332. Pedagantyada Coal Plant | Type: coal | Capacity: 0 MW
333. Pedagantyada Coal Plant | Type: coal | Capacity: 0 MW
334. Pedagantyada Gas Plant | Type: gas | Capacity: 120.0 MW
335. Pedagantyada Solar Plant | Type: solar | Capacity: 0 MW
336. Pedda Gopalaram | Type: solar | Capacity: 20.0 MW
337. Peddamandaddi mandal Solar Plant | Type: solar | Capacity: 0 MW
338. Peddamandaddi mandal Solar Plant | Type: solar | Capacity: 0 MW
339. Peddamandaddi mandal Solar Plant | Type: solar | Capacity: 0 MW
340. Peddapalli mandal Solar Plant | Type: solar | Capacity: 0 MW
341. Peddaumenthal | Type: solar | Capacity: 5.0 MW
342. Peddavangara mandal Solar Plant | Type: solar | Capacity: 0 MW
343. Peravali | Type: solar | Capacity: 4.4 MW
344. Piduguralla Solar Plant | Type: solar | Capacity: 0 MW
345. Pochampad hydro power plant | Type: hydro | Capacity: 36.0 MW
346. Power House | Type: hydro | Capacity: 0 MW
347. Power Station | Type: unknown | Capacity: 4620 MW
348. Power staition | Type: unknown | Capacity: 0 MW
349. Powermech Infra ltd | Type: solar | Capacity: 0 MW
350. Project Mahbubnagar | Type: solar | Capacity: 21.5 MW
351. Project Mahbubnagar | Type: solar | Capacity: 5.75 MW
352. Project Medak | Type: solar | Capacity: 22.02 MW
353. Project Medak | Type: solar | Capacity: 5.75 MW
354. Puchakayala | Type: solar | Capacity: 20.0 MW
355. Pudur mandal Solar Plant | Type: solar | Capacity: 0 MW
356. Pulichintala powerhouse | Type: hydro | Capacity: 120.0 MW
357. Pulivendula | Type: solar | Capacity: 5.0 MW
358. Punganur | Type: solar | Capacity: 50.0 MW
359. Pusapatirega Solar Plant | Type: solar | Capacity: 0 MW
360. Putlur Solar Plant | Type: solar | Capacity: 0 MW
361. Raikode mandal Solar Plant | Type: solar | Capacity: 0 MW
362. Rajahmundry (Urban) Solar Plant | Type: solar | Capacity: 0 MW
